block,replicate,time,pressure,press,CFU_mL,Log_CFU
1,1,10,55K PSI (380 MPa),55k,"8,5",0.93
1,2,10,55K PSI (380 MPa),55k,1,0.3
1,3,10,55K PSI (380 MPa),55k,"2,5",0.4
2,1,10,55K PSI (380 MPa),55k,3,0.48
2,2,10,55K PSI (380 MPa),55k,"8,5",0.93
2,3,10,55K PSI (380 MPa),55k,3,0.48
1,1,8,55K PSI (380 MPa),55k,3,0.48
1,2,8,55K PSI (380 MPa),55k,"1,5",0.18
1,3,8,55K PSI (380 MPa),55k,7,0.85
2,1,8,55K PSI (380 MPa),55k,8,0.9
2,2,8,55K PSI (380 MPa),55k,"15,5",1.19
2,3,8,55K PSI (380 MPa),55k,10,1
1,1,4,55K PSI (380 MPa),55k,130,2.11
1,2,4,55K PSI (380 MPa),55k,33,1.52
1,3,4,55K PSI (380 MPa),55k,25,1.4
2,1,4,55K PSI (380 MPa),55k,89,1.95
2,2,4,55K PSI (380 MPa),55k,49,1.69
2,3,4,55K PSI (380 MPa),55k,26,1.41
1,1,2,55K PSI (380 MPa),55k,650,2.81
1,2,2,55K PSI (380 MPa),55k,2500,3.4
1,3,2,55K PSI (380 MPa),55k,4000,3.6
2,1,2,55K PSI (380 MPa),55k,1900,3.28
2,2,2,55K PSI (380 MPa),55k,14100,4.15
2,3,2,55K PSI (380 MPa),55k,18950,4.28
1,1,1,55K PSI (380 MPa),55k,15000,4.18
1,2,1,55K PSI (380 MPa),55k,25000,4.4
1,3,1,55K PSI (380 MPa),55k,130000,5.11
2,1,1,55K PSI (380 MPa),55k,5500,3.74
2,2,1,55K PSI (380 MPa),55k,4500,3.65
2,3,1,55K PSI (380 MPa),55k,6000,3.78
1,1,10,35K PSI (240 MPa),35k,1405,3.15
1,2,10,35K PSI (240 MPa),35k,2855,3.46
1,3,10,35K PSI (240 MPa),35k,880,2.94
2,1,10,35K PSI (240 MPa),35k,10000,4
2,2,10,35K PSI (240 MPa),35k,19000,4.28
2,3,10,35K PSI (240 MPa),35k,9500,3.98
1,1,8,35K PSI (240 MPa),35k,2000,3.3
1,2,8,35K PSI (240 MPa),35k,2000,3.3
1,3,8,35K PSI (240 MPa),35k,55500,4.74
2,1,8,35K PSI (240 MPa),35k,19000,4.28
2,2,8,35K PSI (240 MPa),35k,15500,4.19
2,3,8,35K PSI (240 MPa),35k,25000,4.4
1,1,4,35K PSI (240 MPa),35k,7000,3.85
1,2,4,35K PSI (240 MPa),35k,9500,3.98
1,3,4,35K PSI (240 MPa),35k,3000,3.48
2,1,4,35K PSI (240 MPa),35k,36000,4.56
2,2,4,35K PSI (240 MPa),35k,38000,4.58
2,3,4,35K PSI (240 MPa),35k,425000,5.63
1,1,2,35K PSI (240 MPa),35k,1600000,6.2
1,2,2,35K PSI (240 MPa),35k,27750000,7.44
1,3,2,35K PSI (240 MPa),35k,7500,3.88
2,1,2,35K PSI (240 MPa),35k,67500,4.83
2,2,2,35K PSI (240 MPa),35k,84000,4.92
2,3,2,35K PSI (240 MPa),35k,78500,4.89
1,1,1,35K PSI (240 MPa),35k,7500,3.88
1,2,1,35K PSI (240 MPa),35k,9000,3.95
1,3,1,35K PSI (240 MPa),35k,71000,4.85
2,1,1,35K PSI (240 MPa),35k,106000,5.03
2,2,1,35K PSI (240 MPa),35k,140500,5.15
2,3,1,35K PSI (240 MPa),35k,141000,5.15
1,1,10,15K PSI (103 MPa),15k,900000,5.95
1,2,10,15K PSI (103 MPa),15k,1900000,6.28
1,3,10,15K PSI (103 MPa),15k,1250000,6.1
2,1,10,15K PSI (103 MPa),15k,190000,5.28
2,2,10,15K PSI (103 MPa),15k,30000,4.48
2,3,10,15K PSI (103 MPa),15k,202000,5.31
1,1,8,15K PSI (103 MPa),15k,755000,5.88
1,2,8,15K PSI (103 MPa),15k,845000,5.93
1,3,8,15K PSI (103 MPa),15k,850000,5.93
2,1,8,15K PSI (103 MPa),15k,295000,5.47
2,2,8,15K PSI (103 MPa),15k,390000,5.59
2,3,8,15K PSI (103 MPa),15k,130000,5.11
1,1,4,15K PSI (103 MPa),15k,2800000,6.45
1,2,4,15K PSI (103 MPa),15k,2350000,6.37
1,3,4,15K PSI (103 MPa),15k,2100000,6.32
2,1,4,15K PSI (103 MPa),15k,30000,4.48
2,2,4,15K PSI (103 MPa),15k,240000,5.38
2,3,4,15K PSI (103 MPa),15k,275000,5.44
1,1,2,15K PSI (103 MPa),15k,1290000,6.11
1,2,2,15K PSI (103 MPa),15k,1165000,6.07
1,3,2,15K PSI (103 MPa),15k,119000000,8.08
2,1,2,15K PSI (103 MPa),15k,450000,5.65
2,2,2,15K PSI (103 MPa),15k,120000,5.08
2,3,2,15K PSI (103 MPa),15k,280000,5.45
1,1,1,15K PSI (103 MPa),15k,1305000,6.12
1,2,1,15K PSI (103 MPa),15k,44000000,7.64
1,3,1,15K PSI (103 MPa),15k,1345000,6.13
2,1,1,15K PSI (103 MPa),15k,330000,5.52
2,2,1,15K PSI (103 MPa),15k,305000,5.48
2,3,1,15K PSI (103 MPa),15k,290000,5.46
1,1,10,5K PSI (35MPa),5k,45500000,7.66
1,2,10,5K PSI (35MPa),5k,41500000,7.62
1,3,10,5K PSI (35MPa),5k,3450000,6.54
2,1,10,5K PSI (35MPa),5k,300000,5.48
2,2,10,5K PSI (35MPa),5k,350000,5.54
2,3,10,5K PSI (35MPa),5k,300000,5.48
1,1,8,5K PSI (35MPa),5k,40000000,7.6
1,2,8,5K PSI (35MPa),5k,3950000,6.6
1,3,8,5K PSI (35MPa),5k,13200000,7.12
2,1,8,5K PSI (35MPa),5k,400000,5.6
2,2,8,5K PSI (35MPa),5k,1000000,6
2,3,8,5K PSI (35MPa),5k,550000,5.74
1,1,4,5K PSI (35MPa),5k,1700000,6.23
1,2,4,5K PSI (35MPa),5k,2000000,6.3
1,3,4,5K PSI (35MPa),5k,2450000,6.39
2,1,4,5K PSI (35MPa),5k,350000,5.54
2,2,4,5K PSI (35MPa),5k,350000,5.54
2,3,4,5K PSI (35MPa),5k,550000,5.74
1,1,2,5K PSI (35MPa),5k,2850000,6.45
1,2,2,5K PSI (35MPa),5k,2800000,6.45
1,3,2,5K PSI (35MPa),5k,4200000,6.62
2,1,2,5K PSI (35MPa),5k,250000,5.4
2,2,2,5K PSI (35MPa),5k,750000,5.88
2,3,2,5K PSI (35MPa),5k,500000,5.7
1,1,1,5K PSI (35MPa),5k,3000000,6.48
1,2,1,5K PSI (35MPa),5k,2300000,6.36
1,3,1,5K PSI (35MPa),5k,3650000,6.56
2,1,1,5K PSI (35MPa),5k,250000,5.4
2,2,1,5K PSI (35MPa),5k,700000,5.85
2,3,1,5K PSI (35MPa),5k,1300000,6.11
